address,label,known,description,maker_fills,taker_fills,total_fills,maker_pct,maker_volume,taker_volume,total_volume
0xe00740bce98a594e26861838885ab310ec3b548c,0xe00740bc,False,,3109,558,3667,84.7832015271339,48921.27134199999,7159.822106,56081.09344799999
0x03c3b0236c5a01051381482e77f2210349073a1d,0x03c3b023,False,,2818,789,3607,78.12586637094539,50157.625799999994,8111.502415,58269.128215
0x04895657d3c2afebec8be4b6e60b9c56ad68ee4d,0x04895657,False,,3499,0,3499,100.0,14390.044274,0.0,14390.044274
0xb4d2499b6cabd0bb93672bb17c5ae47101759ee1,0xb4d2499b,False,,1553,1647,3200,48.53125,178343.149621,21800.957541000003,200144.107162
0x56bad0e7a00913c6e35c00dce3ec7f7cd6a311d7,0x56bad0e7,False,,2744,427,3171,86.53421633554083,26821.680882,3527.243603,30348.924485
0xd44e29936409019f93993de8bd603ef6cb1bb15e,0xd44e2993,False,,3134,0,3134,100.0,18386.868822999997,0.0,18386.868822999997
0x454329bf4e237b7059244cfb3891337a2faf72d1,0x454329bf,False,,2818,234,3052,92.33289646133683,26636.059726,1661.9586719999998,28298.018398
0x13434bfb941254275f504000ebabd48076031967,0x13434bfb,False,,1702,1319,3021,56.338960609069844,15743.134629,4600.859318000001,20343.993947000003
0x064e0aed5a3bad3ee926374e8fceade88f5c2ab8,0x064e0aed,False,,2547,321,2868,88.80753138075313,24814.038077,2185.484679,26999.522756000002
0x70ec235a31eb35f243e2618d6ea3b5b8962bbb5d,0x70ec235a,False,,2404,455,2859,84.08534452605807,30811.596196,3973.658131,34785.254327
0xd07a22ef9a4789c7410f7cbd2aebe8fd24aafa94,0xd07a22ef,False,,2440,354,2794,87.32999284180386,46106.421682,3981.3623629999997,50087.784045
0x63ce342161250d705dc0b16df89036c8e5f9ba9a,0x63ce34,True,"$6,242 — deep discount + seller",2139,610,2749,77.81011276827937,117409.613791,11326.520332,128736.134123
0x297fbd45782af37d899015aebbc52437f3d55103,0x297fbd45,False,,2607,0,2607,100.0,13854.011699,0.0,13854.011699
0x37c94ea1b44e01b18a1ce3ab6f8002bd6b9d7e6d,0x37c94ea1,False,,1485,1095,2580,57.55813953488372,37332.760597,12779.108938000001,50111.869535000005
0x3bb14ca90cae37aa814d7059feecdbc60a193073,0x3bb14ca9,False,,1938,602,2540,76.29921259842519,9693.131529,2915.570138,12608.701667000001
0xef5c92cc86061219ef4486e20a117848d54026f2,0xef5c92cc,False,,1728,798,2526,68.40855106888361,12915.167781,2664.1250410000002,15579.292822
0x36a708485c603a477804ec74122475647629f03b,0x36a70848,False,,2139,377,2516,85.01589825119237,10332.246459,1832.3633,12164.609758999999
0xb066420c951615bbda3cee4092b6c06b1a1ca0d7,0xb066420c,False,,1646,805,2451,67.156262749898,64761.36029899999,9393.720819999999,74155.081119
0x5b6c2b6386514b87d58fd2f440d22d752b9f6fdf,0x5b6c2b63,False,,892,1556,2448,36.43790849673202,1864.2687540000002,697.6906570000001,2561.9594110000003
0xc14cda025d9cd05d123aaaeef3b930d7eb9d8da0,0xc14cda02,False,,2257,152,2409,93.69032793690329,19847.009973,1095.726784,20942.736757
0x1b82f12d22286ee5b53a11ed90c233fbf5e5efa6,0x1b82f12d,False,,746,1589,2335,31.94860813704497,1025.1505710000001,480.616061,1505.766632
0xefb92699291627fbc395550648815b1241c3e74f,0xefb92699,False,,2327,0,2327,100.0,11773.707481000001,0.0,11773.707481000001
0xcf0d23524683635e78f7eae5bd667056600e5a25,0xcf0d2352,False,,1951,332,2283,85.45773105562856,17581.121383,2586.794299,20167.915682000003
0x0cf773a21b04b9f267fea95a87813f74ca0cf03a,0x0cf773a2,False,,2163,68,2231,96.95203944419542,22461.02116,634.5552590000001,23095.576419
0x203710b74089d218cad7017dede651a123d1efb1,0x203710b7,False,,1545,575,2120,72.87735849056604,51951.188865000004,7870.750857,59821.939722
0x6b1bdf3c115b85083dd41feae4daf7a634531923,0x6b1bdf3c,False,,1688,398,2086,80.92042186001918,13443.331913999999,2478.856067,15922.187981
0x7f4db1ae154302f1112e233dfcc8f5c4022d7411,0x7f4db1ae,False,,1570,267,1837,85.46543277082199,10168.040747,1423.877698,11591.918445
0x61276aba49117fd9299707d5d573652949d5c977,0x61276aba,False,,1567,244,1811,86.52678078409718,38805.00386,4102.288648,42907.292508
0x3397fa656eddc763f91d0379687fb303512bac80,0x3397fa65,False,,1583,225,1808,87.55530973451327,10780.534519,1207.152098,11987.686617000001
0x39636344f4906695016c13a78a8cd4ea705b2b0b,0x39636344,False,,1804,0,1804,100.0,11838.193386,0.0,11838.193386
0x936027683753c01e2900f245c9db113421e48bc5,0x93602768,False,,1382,422,1804,76.60753880266076,26286.561958,4107.218471,30393.780429
0x9afe694163f56c86ca8e2c74b67ea43a165b17c2,0x9afe6941,False,,1440,329,1769,81.40192198982476,12077.219038,2573.141717,14650.360755
0xd1922f466b05b55dbf9d93f4aff67899d57494eb,0xd1922f46,False,,1173,571,1744,67.2591743119266,17288.528394,3400.700135,20689.228529
0xb722bfe4b6304193df0121df6bb468fff2b52156,0xb722bfe4,False,,810,919,1729,46.847888953152115,1505.759122,593.1053549999999,2098.864477
0xa4bc376dce00bc06a91b0c954a69fe86dee02917,0xa4bc376d,False,,1272,400,1672,76.07655502392345,6328.239168,1905.916846,8234.156014
0xb6e9b13eff71f87342e8baeff56ae2afb3b53008,0xb6e9b13e,False,,1082,554,1636,66.13691931540342,58662.45706,7607.5114619999995,66269.968522
0xa84edaf1a562eabb463dc6cf4c3e9c407a5edbeb,0xa84edaf1,False,,1400,207,1607,87.11885500933417,10016.712311,1182.521232,11199.233542999998
0x5bde889dc26b097b5eaa2f1f027e01712ebccbb7,0x5bde889d,False,,1598,0,1598,100.0,22790.624614,0.0,22790.624614
0x772007b0347f31ba57673de818be5846d35af3bb,0x772007b0,False,,1213,374,1587,76.43352236925016,12122.479169999999,2920.959531,15043.438701
0x1264bc91c998d68d607c47ad67de162321b5e901,0x1264bc91,False,,944,639,1583,59.63360707517372,2187.355773,1273.878852,3461.234625
0xd2518ea4191f31668e94e448d0afbeccdedf4fcf,0xd2518ea4,False,,1555,0,1555,100.0,7462.315295,0.0,7462.315295
0x1568915b183ae151f01787dd5fe609e71d668c0b,0x1568915b,False,,1525,0,1525,100.0,7325.217554999999,0.0,7325.217554999999
0xc59c0058c745e6b1893f638f047f00b76820cf84,0xc59c0058,False,,1523,0,1523,100.0,7225.578347999999,0.0,7225.578347999999
0xef792dadb048e4d68b02573ba8b226515fcd6bcb,0xef792dad,False,,1349,157,1506,89.57503320053121,7307.548182999999,795.197392,8102.745574999999
0x5d3cc45e538130b02c8f3c821638ec9cd350c298,0x5d3cc45e,False,,1141,280,1421,80.29556650246306,13302.921267,2480.9047849999997,15783.826052
0xfd07637ba891da17701de32e7d5e152e3a70366d,0xfd07637b,False,,979,431,1410,69.43262411347517,20916.901194,3022.35822,23939.259414
0x5ecdc861c3e4aa9cde4493d50caf09102aee1419,0x5ecdc861,False,,1124,278,1402,80.17118402282453,11045.910817,2261.7694739999997,13307.680291
0x86a29f88fcc23ea2b0e01b4e186b043e26c873a8,0x86a29f88,False,,1394,0,1394,100.0,6117.89019,0.0,6117.89019
0xed86741e5223f1b72945f6c4002168b2588e78c7,0xed86741e,False,,1181,195,1376,85.82848837209302,16061.330685,2019.593359,18080.924044
0x2fd54bf01afa1b57024c52ff13bf11a4ff3fef85,0x2fd54bf0,False,,1288,87,1375,93.67272727272727,3033.836808,288.534619,3322.371427
